id,nome,email,telefone,uf,cidade,data_nasc,vaga,pretensao,plano
53,Theo,email@gmail.com,(12) 123874127,MG,Belo Horizonte,14/09/1997,Administracao,5000,Gratis
54,Gael,email@gmail.com,(12) 123874127,RJ,Rio de Janeiro,14/09/1987,Motorista,2400,Gratis
55,Ariel,email@gmail.com,(12) 123874127,SP,Sao Paulo,14/09/1987,Motorista,1700,Gratis
56,Marta,email@gmail.com,(12) 123874127,PR,Curitiba,14/09/1970,Direito,3500,Prata
57,Lucas,email@gmail.com,(12) 123874127,MG,Belo Horizonte,14/09/1995,Motorista,2200,Ouro
58,Bia,email@gmail.com,(12) 123874127,PR,Curitiba,14/09/1991,Tecnologia,1500,Gratis
59,Bete,email@gmail.com,(12) 123874127,SC,Florianopolis,14/09/1992,Administracao,2800,Ouro
60,Joao,email@gmail.com,(12) 123874127,MG,Belo Horizonte,14/09/1987,Motorista,1800,Gratis
61,Jose,email@gmail.com,(12) 123874127,RJ,Rio de Janeiro,14/09/1990,Cozinheiro,3800,Diamante
62,Joana,email@gmail.com,(12) 123874127,SP,Sao Paulo,14/09/1967,Motorista,2800,Gratis
63,Ana,email@gmail.com,(12) 123874127,SP,Sao Paulo,14/09/1990,Motorista,3000,Prata
64,Theo,email@gmail.com,(12) 123874127,MG,Belo Horizonte,14/09/1997,Administracao,5000,Gratis
65,Gael,email@gmail.com,(12) 123874127,RJ,Rio de Janeiro,14/09/1987,Motorista,2400,Gratis
66,Ariel,email@gmail.com,(12) 123874127,SP,Sao Paulo,14/09/1987,Motorista,1700,Gratis
67,Marta,email@gmail.com,(12) 123874127,PR,Curitiba,14/09/1970,Direito,3500,Prata
68,Lucas,email@gmail.com,(12) 123874127,MG,Belo Horizonte,14/09/1995,Motorista,2200,Ouro
69,Bia,email@gmail.com,(12) 123874127,PR,Curitiba,14/09/1991,Tecnologia,1500,Gratis
70,Bete,email@gmail.com,(12) 123874127,SC,Florianopolis,14/09/1992,Administracao,2800,Ouro
71,Ana Julia,anajulia@gmail.com,(41)988256660,PR,Curitiba,05/05/2001,Direito,2000,Ouro
